iter	Passed	Remaining
916	1481	6598
917	1483	6597
918	1485	6596
919	1486	6593
920	1488	6591
921	1489	6589
922	1491	6587
923	1492	6585
924	1494	6583
925	1495	6580
926	1497	6578
927	1498	6576
928	1500	6574
929	1501	6570
930	1503	6569
931	1504	6567
932	1506	6565
933	1507	6563
934	1509	6560
935	1510	6558
936	1512	6557
937	1513	6556
938	1515	6554
939	1517	6552
940	1518	6550
941	1520	6548
942	1521	6545
943	1522	6543
944	1524	6540
945	1525	6538
946	1527	6535
947	1528	6533
948	1529	6530
949	1531	6528
950	1532	6526
951	1534	6523
952	1535	6521
953	1537	6519
954	1538	6517
955	1540	6514
956	1541	6511
957	1542	6509
958	1544	6506
959	1545	6504
960	1547	6502
961	1548	6499
962	1549	6497
963	1551	6495
964	1553	6494
965	1554	6492
966	1556	6490
967	1557	6489
968	1559	6487
969	1561	6485
970	1562	6483
971	1563	6480
972	1565	6478
973	1566	6475
974	1568	6473
975	1569	6470
976	1570	6468
977	1572	6466
978	1573	6463
979	1575	6462
980	1576	6459
981	1578	6457
982	1579	6455
983	1581	6453
984	1582	6450
985	1584	6448
986	1585	6446
987	1586	6443
988	1588	6440
989	1589	6438
990	1591	6437
991	1592	6435
992	1594	6432
993	1595	6429
994	1596	6427
995	1598	6424
996	1599	6422
997	1601	6420
998	1602	6418
999	1603	6415
1000	1605	6413
1001	1606	6411
1002	1608	6409
1003	1609	6407
1004	1611	6406
1005	1613	6406
1006	1615	6404
1007	1616	6401
1008	1617	6399
1009	1619	6397
1010	1620	6394
1011	1622	6392
1012	1623	6391
1013	1625	6389
1014	1626	6387
1015	1628	6385
1016	1630	6384
1017	1631	6381
1018	1632	6379
1019	1634	6377
1020	1635	6374
1021	1637	6372
1022	1638	6371
1023	1640	6370
1024	1642	6368
1025	1643	6367
1026	1645	6366
1027	1647	6365
1028	1649	6364
1029	1650	6362
1030	1652	6362
1031	1654	6360
1032	1655	6358
1033	1657	6356
1034	1658	6354
1035	1660	6352
1036	1661	6350
1037	1663	6347
1038	1664	6345
1039	1666	6343
1040	1667	6341
1041	1668	6338
1042	1670	6336
1043	1671	6334
1044	1673	6332
1045	1674	6329
1046	1675	6327
1047	1677	6324
1048	1678	6322
1049	1680	6321
1050	1681	6319
1051	1683	6318
1052	1685	6317
1053	1686	6315
1054	1688	6312
1055	1689	6310
1056	1691	6308
1057	1692	6306
1058	1693	6303
1059	1695	6301
1060	1696	6299
1061	1698	6297
1062	1699	6295
1063	1701	6293
1064	1702	6291
1065	1704	6289
1066	1705	6286
1067	1707	6284
1068	1708	6282
1069	1710	6281
1070	1712	6282
1071	1714	6281
1072	1716	6280
1073	1717	6278
1074	1718	6276
1075	1720	6274
1076	1722	6275
1077	1724	6273
1078	1726	6274
1079	1728	6272
1080	1729	6271
1081	1731	6270
1082	1733	6270
1083	1735	6269
1084	1737	6268
1085	1738	6266
1086	1740	6266
1087	1742	6265
1088	1744	6264
1089	1746	6265
1090	1748	6265
1091	1750	6263
1092	1751	6261
1093	1753	6259
1094	1754	6257
1095	1756	6255
1096	1757	6253
1097	1758	6250
1098	1760	6248
1099	1762	6247
1100	1763	6244
1101	1765	6243
1102	1766	6240
1103	1767	6238
1104	1769	6236
1105	1770	6234
1106	1772	6232
1107	1773	6230
1108	1775	6228
1109	1777	6228
1110	1778	6226
1111	1780	6223
1112	1781	6221
1113	1782	6219
1114	1784	6217
1115	1785	6215
1116	1787	6214
1117	1789	6212
1118	1790	6210
1119	1792	6209
1120	1793	6207
1121	1795	6205
1122	1796	6202
1123	1798	6200
1124	1799	6198
1125	1800	6196
1126	1802	6193
1127	1803	6191
1128	1805	6190
1129	1806	6187
1130	1808	6185
1131	1809	6183
1132	1811	6183
1133	1813	6182
1134	1815	6180
1135	1816	6179
1136	1818	6177
1137	1819	6176
1138	1821	6174
1139	1823	6173
1140	1824	6171
1141	1826	6169
1142	1828	6168
1143	1830	6168
1144	1831	6167
1145	1833	6165
1146	1834	6163
1147	1836	6160
1148	1837	6158
1149	1839	6156
1150	1840	6155
1151	1842	6153
1152	1843	6150
